message,label
Saya tertarik menggunakan jasa production untuk acara kampus. Saya tertarik dengan portofolio perusahaan.,0
Apakah tersedia layanan instalasi outdoor? Apakah tersedia paket untuk event kecil?,0
"Halo admin, saya ingin bertanya mengenai layanan event. Tolong kirimkan katalog production terbaru.",0
Terima kasih atas respon cepat dari tim. Mohon bantuan untuk konsultasi desain. (Perum Adriansyah),0
Saya ingin menjadwalkan meeting dengan tim production. Tolong kirimkan katalog production terbaru. (PT Halimah),0
Pelayanan kalian jelek dan lambat. Admin tidak berguna sama sekali. (CV Siregar),1
Boleh minta penawaran harga untuk produksi booth? Saya ingin mengetahui detail layanan. (Perum Prastuti Kuswandari (Persero) Tbk),0
Terima kasih atas respon cepat dari tim. Mohon bantuan untuk konsultasi desain. (Perum Laksita Wacana (Persero) Tbk),0
Goblok banget cara kerja kalian. Hasil kerja kalian jelek banget. (PT Anggriawan),1
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini.,1
Berapa estimasi harga untuk backdrop ukuran besar? Apakah tersedia paket untuk event kecil?,0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Mohon bantuan untuk konsultasi desain.,0
Admin tolol dan tidak membantu. Admin tidak berguna sama sekali.,1
Apakah tersedia layanan instalasi outdoor? Apakah tersedia paket untuk event kecil?,0
Saya ingin menjadwalkan meeting dengan tim production. Saya ingin mengetahui detail layanan.,0
Pelayanan sangat mengecewakan dan parah. Hasil kerja kalian jelek banget.,1
Tim kalian tidak profesional sama sekali. Admin tidak berguna sama sekali. (CV Winarsih),1
Apakah bisa request desain booth custom untuk pameran? Mohon bantuan untuk konsultasi desain. (PD Pradipta Tbk),0
Saya ingin membuat booth dengan desain minimalis. Saya tertarik dengan portofolio perusahaan. (PT Wijaya Tbk),0
Apakah bisa request desain booth custom untuk pameran? Saya tertarik dengan portofolio perusahaan. (CV Suartini),0
Goblok banget cara kerja kalian. Buruk sekali pelayanannya.,1
Apakah tersedia layanan instalasi outdoor? Mohon bantuan untuk konsultasi desain.,0
Apakah bisa produksi signage dalam jumlah banyak? Tolong kirimkan katalog production terbaru.,0
Saya ingin menjadwalkan meeting dengan tim production. Apakah tersedia paket untuk event kecil? (UD Sihotang Pratama Tbk),0
Website ini sampah dan tidak berguna. Kalian tidak becus kerja. (PT Uyainah Winarno),1
Website ini sampah dan tidak berguna. Saya kecewa berat dengan layanan ini. (PD Permata (Persero) Tbk),1
Sistem kalian bikin emosi. Admin tidak berguna sama sekali.,1
Saya tertarik menggunakan jasa production untuk acara kampus. Saya tertarik dengan portofolio perusahaan.,0
Apakah bisa produksi signage dalam jumlah banyak? Tolong kirimkan katalog production terbaru. (UD Astuti Saptono Tbk),0
Admin tolol dan tidak membantu. Hasil kerja kalian jelek banget.,1
Tim kalian sangat profesional dan responsif. Saya ingin mengetahui detail layanan.,0
Goblok banget cara kerja kalian. Kalian tidak becus kerja.,1
"Dasar goblok, balas chat lama. Kalian tidak becus kerja.",1
"Bangsat, masa revisi lama banget. Buruk sekali pelayanannya.",1
Respon admin buruk sekali. Admin tidak berguna sama sekali.,1
Kalian bikin acara kacau total. Kalian tidak becus kerja. (Perum Palastri Situmorang (Persero) Tbk),1
Goblok banget cara kerja kalian. Kalian tidak becus kerja. (UD Narpati Simbolon Tbk),1
Pelayanan sangat mengecewakan dan parah. Admin tidak berguna sama sekali. (UD Waluyo Tbk),1
Saya ingin menjadwalkan meeting dengan tim production. Saya tertarik dengan portofolio perusahaan.,0
Mohon informasi paket production yang tersedia. Saya tertarik dengan portofolio perusahaan.,0
Goblok banget cara kerja kalian. Saya kecewa berat dengan layanan ini. (UD Padmasari Tbk),1
Mohon informasi paket production yang tersedia. Saya tertarik dengan portofolio perusahaan.,0
Apakah bisa request desain booth custom untuk pameran? Saya tertarik dengan portofolio perusahaan.,0
Admin tolol dan tidak membantu. Admin tidak berguna sama sekali.,1
Saya tertarik menggunakan jasa production untuk acara kampus. Saya tertarik dengan portofolio perusahaan.,0
Tim kalian sangat tidak kompeten. Hasil kerja kalian jelek banget. (Perum Hutapea Purnawati (Persero) Tbk),1
Sistem kalian bikin emosi. Admin tidak berguna sama sekali. (PT Andriani Hastuti),1
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini.,1
Tim kalian tidak profesional sama sekali. Hasil kerja kalian jelek banget. (UD Rajata Maulana),1
Tim kalian sangat tidak kompeten. Buruk sekali pelayanannya. (PD Gunarto (Persero) Tbk),1
Respon admin buruk sekali. Hasil kerja kalian jelek banget.,1
Website kalian sangat membantu untuk referensi event. Apakah tersedia paket untuk event kecil? (UD Nasyiah Anggriawan Tbk),0
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini.,1
Layanan paling buruk yang pernah saya lihat. Hasil kerja kalian jelek banget. (UD Hidayanto (Persero) Tbk),1
Tim kalian tidak profesional sama sekali. Buruk sekali pelayanannya.,1
Pelayanan sangat mengecewakan dan parah. Hasil kerja kalian jelek banget. (PT Anggriawan),1
Apakah ada promo untuk event akhir tahun? Apakah tersedia paket untuk event kecil? (Perum Halimah Handayani),0
Tim kalian tidak profesional sama sekali. Kalian tidak becus kerja.,1
Admin tolol dan tidak membantu. Saya kecewa berat dengan layanan ini. (PT Sitorus (Persero) Tbk),1
Website kalian sangat membantu untuk referensi event. Apakah tersedia paket untuk event kecil?,0
Goblok banget cara kerja kalian. Buruk sekali pelayanannya. (CV Dongoran Tbk),1
Layanan paling buruk yang pernah saya lihat. Admin tidak berguna sama sekali.,1
Kalian bikin acara kacau total. Admin tidak berguna sama sekali. (PD Tarihoran Wasita Tbk),1
Apakah bisa produksi signage dalam jumlah banyak? Saya ingin mengetahui detail layanan.,0
Parah banget hasil produksinya. Saya kecewa berat dengan layanan ini.,1
Admin tolol dan tidak membantu. Kalian tidak becus kerja.,1
Boleh minta penawaran harga untuk produksi booth? Saya ingin mengetahui detail layanan.,0
Layanan paling buruk yang pernah saya lihat. Kalian tidak becus kerja.,1
Tim kalian sangat profesional dan responsif. Apakah tersedia paket untuk event kecil?,0
Website kalian sangat membantu untuk referensi event. Mohon bantuan untuk konsultasi desain. (Perum Usamah Fujiati),0
"Bangsat, masa revisi lama banget. Buruk sekali pelayanannya.",1
Saya ingin membuat booth dengan desain minimalis. Tolong kirimkan katalog production terbaru. (CV Januar Saragih),0
Tim kalian sangat tidak kompeten. Admin tidak berguna sama sekali.,1
Website ini sampah dan tidak berguna. Hasil kerja kalian jelek banget. (CV Hakim Tbk),1
Layanan paling buruk yang pernah saya lihat. Admin tidak berguna sama sekali.,1
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain.,0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Tolong kirimkan katalog production terbaru.,0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Apakah tersedia paket untuk event kecil?,0
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain.,0
Boleh minta penawaran harga untuk produksi booth? Saya ingin mengetahui detail layanan.,0
Goblok banget cara kerja kalian. Hasil kerja kalian jelek banget.,1
Parah banget hasil produksinya. Buruk sekali pelayanannya.,1
Layanan paling buruk yang pernah saya lihat. Admin tidak berguna sama sekali.,1
Apakah bisa produksi signage dalam jumlah banyak? Tolong kirimkan katalog production terbaru. (PT Habibi Widiastuti),0
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini. (PT Tampubolon),1
Sistem kalian bikin emosi. Admin tidak berguna sama sekali. (PD Mulyani),1
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan.,0
Pelayanan sangat mengecewakan dan parah. Kalian tidak becus kerja.,1
Website kalian sangat membantu untuk referensi event. Mohon bantuan untuk konsultasi desain.,0
Mohon informasi paket production yang tersedia. Mohon bantuan untuk konsultasi desain. (UD Mulyani),0
Pelayanan sangat mengecewakan dan parah. Kalian tidak becus kerja.,1
Berapa estimasi harga untuk backdrop ukuran besar? Mohon bantuan untuk konsultasi desain. (PD Lailasari Palastri (Persero) Tbk),0
Website ini sampah dan tidak berguna. Admin tidak berguna sama sekali.,1
Pelayanan sangat mengecewakan dan parah. Buruk sekali pelayanannya.,1
Goblok banget cara kerja kalian. Buruk sekali pelayanannya. (PD Prasasta Maheswara Tbk),1
Apakah bisa produksi signage dalam jumlah banyak? Apakah tersedia paket untuk event kecil?,0
Admin kalian bodoh banget. Hasil kerja kalian jelek banget.,1
Tim kalian sangat tidak kompeten. Hasil kerja kalian jelek banget.,1
Pelayanan kalian jelek dan lambat. Hasil kerja kalian jelek banget.,1
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Tolong kirimkan katalog production terbaru. (CV Saptono Pertiwi Tbk),0
Pelayanan sangat mengecewakan dan parah. Admin tidak berguna sama sekali.,1
Pelayanan kalian jelek dan lambat. Admin tidak berguna sama sekali.,1
Apakah bisa produksi signage dalam jumlah banyak? Saya tertarik dengan portofolio perusahaan. (UD Suartini),0
Admin tolol dan tidak membantu. Buruk sekali pelayanannya.,1
"Bangsat, masa revisi lama banget. Hasil kerja kalian jelek banget. (CV Novitasari Tamba)",1
Apakah bisa request desain booth custom untuk pameran? Tolong kirimkan katalog production terbaru.,0
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan.,0
"Bangsat, masa revisi lama banget. Saya kecewa berat dengan layanan ini.",1
Apakah tersedia layanan instalasi outdoor? Saya ingin mengetahui detail layanan.,0
Respon admin buruk sekali. Hasil kerja kalian jelek banget.,1
Berapa estimasi harga untuk backdrop ukuran besar? Saya tertarik dengan portofolio perusahaan.,0
Apakah ada promo untuk event akhir tahun? Saya ingin mengetahui detail layanan. (Perum Siregar Tbk),0
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain.,0
"Bangsat, masa revisi lama banget. Kalian tidak becus kerja.",1
Terima kasih atas respon cepat dari tim. Saya ingin mengetahui detail layanan.,0
Saya tertarik menggunakan jasa production untuk acara kampus. Tolong kirimkan katalog production terbaru.,0
Kalian bikin acara kacau total. Buruk sekali pelayanannya. (UD Usamah (Persero) Tbk),1
Saya tertarik menggunakan jasa production untuk acara kampus. Saya ingin mengetahui detail layanan. (Perum Hariyah (Persero) Tbk),0
Mohon informasi paket production yang tersedia. Saya ingin mengetahui detail layanan. (PT Suwarno Hardiansyah),0
Mohon informasi paket production yang tersedia. Saya ingin mengetahui detail layanan. (CV Marpaung Maheswara Tbk),0
Admin kalian bodoh banget. Admin tidak berguna sama sekali. (Perum Mustofa Permata),1
Tim kalian sangat profesional dan responsif. Mohon bantuan untuk konsultasi desain. (CV Utami),0
Respon admin buruk sekali. Buruk sekali pelayanannya. (PT Waluyo),1
Admin kalian bodoh banget. Saya kecewa berat dengan layanan ini. (CV Halim Sitorus Tbk),1
Saya ingin menjadwalkan meeting dengan tim production. Mohon bantuan untuk konsultasi desain.,0
"Dasar goblok, balas chat lama. Kalian tidak becus kerja. (Perum Nashiruddin Iswahyudi)",1
Apakah ada promo untuk event akhir tahun? Tolong kirimkan katalog production terbaru.,0
Kalian bikin acara kacau total. Hasil kerja kalian jelek banget.,1
Tim kalian sangat profesional dan responsif. Mohon bantuan untuk konsultasi desain. (Perum Prasetyo Kuswoyo),0
Goblok banget cara kerja kalian. Saya kecewa berat dengan layanan ini. (CV Safitri Gunarto Tbk),1
Berapa estimasi harga untuk backdrop ukuran besar? Tolong kirimkan katalog production terbaru.,0
Website ini sampah dan tidak berguna. Hasil kerja kalian jelek banget. (PT Sitompul Mayasari Tbk),1
"Dasar goblok, balas chat lama. Hasil kerja kalian jelek banget. (UD Narpati)",1
Berapa estimasi harga untuk backdrop ukuran besar? Tolong kirimkan katalog production terbaru. (PT Hartati Riyanti),0
Admin tolol dan tidak membantu. Kalian tidak becus kerja. (Perum Maheswara Zulaika),1
Saya tertarik menggunakan jasa production untuk acara kampus. Saya tertarik dengan portofolio perusahaan.,0
Kalian bikin acara kacau total. Buruk sekali pelayanannya. (PD Damanik Hassanah Tbk),1
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini. (CV Mulyani Puspita),1
Pelayanan sangat mengecewakan dan parah. Buruk sekali pelayanannya. (PT Pertiwi Hidayanto),1
"Bangsat, masa revisi lama banget. Hasil kerja kalian jelek banget.",1
Saya ingin menjadwalkan meeting dengan tim production. Apakah tersedia paket untuk event kecil? (PT Kuswandari Melani Tbk),0
Layanan paling buruk yang pernah saya lihat. Hasil kerja kalian jelek banget. (PT Permata Suwarno),1
Berapa estimasi harga untuk backdrop ukuran besar? Apakah tersedia paket untuk event kecil? (PT Prasetya),0
"Bangsat, masa revisi lama banget. Admin tidak berguna sama sekali. (UD Budiyanto)",1
Pelayanan kalian jelek dan lambat. Kalian tidak becus kerja.,1
Tim kalian sangat tidak kompeten. Admin tidak berguna sama sekali.,1
Apakah bisa produksi signage dalam jumlah banyak? Mohon bantuan untuk konsultasi desain.,0
"Halo admin, saya ingin bertanya mengenai layanan event. Mohon bantuan untuk konsultasi desain.",0
Berapa estimasi harga untuk backdrop ukuran besar? Apakah tersedia paket untuk event kecil? (PT Prastuti Thamrin Tbk),0
Apakah bisa request desain booth custom untuk pameran? Saya ingin mengetahui detail layanan. (PD Iswahyudi Setiawan (Persero) Tbk),0
Pelayanan sangat mengecewakan dan parah. Admin tidak berguna sama sekali. (UD Marpaung Natsir (Persero) Tbk),1
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan. (PT Fujiati Prakasa (Persero) Tbk),0
Kalian bikin acara kacau total. Admin tidak berguna sama sekali.,1
Website kalian sangat membantu untuk referensi event. Saya tertarik dengan portofolio perusahaan. (PT Iswahyudi Novitasari),0
Berapa estimasi harga untuk backdrop ukuran besar? Saya tertarik dengan portofolio perusahaan. (PD Putra Tbk),0
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget. (UD Suryono Sihombing),1
Saya tertarik menggunakan jasa production untuk acara kampus. Saya ingin mengetahui detail layanan.,0
Respon admin buruk sekali. Buruk sekali pelayanannya.,1
Saya ingin membuat booth dengan desain minimalis. Tolong kirimkan katalog production terbaru. (PT Prabowo Suartini),0
Layanan paling buruk yang pernah saya lihat. Saya kecewa berat dengan layanan ini. (Perum Prasasta Maryati),1
Saya ingin menjadwalkan meeting dengan tim production. Mohon bantuan untuk konsultasi desain. (PT Sihotang Pangestu Tbk),0
Layanan paling buruk yang pernah saya lihat. Admin tidak berguna sama sekali. (PT Hariyah),1
Tim kalian sangat tidak kompeten. Kalian tidak becus kerja.,1
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget.,1
Tim kalian tidak profesional sama sekali. Kalian tidak becus kerja.,1
Pelayanan kalian jelek dan lambat. Kalian tidak becus kerja. (UD Melani Tbk),1
Respon admin buruk sekali. Hasil kerja kalian jelek banget. (UD Pudjiastuti Hutapea (Persero) Tbk),1
Mohon informasi paket production yang tersedia. Mohon bantuan untuk konsultasi desain.,0
"Bangsat, masa revisi lama banget. Kalian tidak becus kerja. (UD Budiyanto Novitasari Tbk)",1
Parah banget hasil produksinya. Hasil kerja kalian jelek banget. (UD Hutagalung Natsir),1
Apakah bisa request desain booth custom untuk pameran? Saya ingin mengetahui detail layanan. (PD Januar Nainggolan),0
"Bangsat, masa revisi lama banget. Kalian tidak becus kerja.",1
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini. (Perum Hariyah),1
Apakah tersedia layanan instalasi outdoor? Apakah tersedia paket untuk event kecil?,0
"Halo admin, saya ingin bertanya mengenai layanan event. Mohon bantuan untuk konsultasi desain.",0
Apakah bisa produksi signage dalam jumlah banyak? Saya ingin mengetahui detail layanan. (PD Maheswara Tamba (Persero) Tbk),0
Tim kalian sangat profesional dan responsif. Tolong kirimkan katalog production terbaru. (PT Wastuti Tbk),0
Kalian bikin acara kacau total. Saya kecewa berat dengan layanan ini.,1
Pelayanan kalian jelek dan lambat. Buruk sekali pelayanannya.,1
"Bangsat, masa revisi lama banget. Hasil kerja kalian jelek banget.",1
"Halo admin, saya ingin bertanya mengenai layanan event. Tolong kirimkan katalog production terbaru.",0
Saya tertarik menggunakan jasa production untuk acara kampus. Saya ingin mengetahui detail layanan.,0
Admin tolol dan tidak membantu. Buruk sekali pelayanannya.,1
Admin tolol dan tidak membantu. Hasil kerja kalian jelek banget. (UD Palastri Nasyiah Tbk),1
Tim kalian sangat profesional dan responsif. Apakah tersedia paket untuk event kecil? (UD Melani (Persero) Tbk),0
Admin kalian bodoh banget. Hasil kerja kalian jelek banget.,1
"Dasar goblok, balas chat lama. Hasil kerja kalian jelek banget. (UD Mahendra)",1
Website kalian sangat membantu untuk referensi event. Tolong kirimkan katalog production terbaru.,0
Respon admin buruk sekali. Hasil kerja kalian jelek banget.,1
Admin kalian bodoh banget. Saya kecewa berat dengan layanan ini. (Perum Padmasari Marbun),1
Boleh minta penawaran harga untuk produksi booth? Saya tertarik dengan portofolio perusahaan.,0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Mohon bantuan untuk konsultasi desain. (PT Anggraini),0
Tim kalian tidak profesional sama sekali. Hasil kerja kalian jelek banget.,1
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan.,0
Saya ingin menjadwalkan meeting dengan tim production. Mohon bantuan untuk konsultasi desain. (UD Lazuardi Tarihoran),0
Saya ingin membuat booth dengan desain minimalis. Apakah tersedia paket untuk event kecil? (Perum Budiyanto),0
Website kalian sangat membantu untuk referensi event. Saya ingin mengetahui detail layanan.,0
Terima kasih atas respon cepat dari tim. Mohon bantuan untuk konsultasi desain.,0
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan. (PT Nurdiyanti),0
Saya tertarik menggunakan jasa production untuk acara kampus. Tolong kirimkan katalog production terbaru. (Perum Handayani (Persero) Tbk),0
Boleh minta penawaran harga untuk produksi booth? Mohon bantuan untuk konsultasi desain.,0
Apakah tersedia layanan instalasi outdoor? Saya tertarik dengan portofolio perusahaan. (Perum Salahudin (Persero) Tbk),0
Saya tertarik menggunakan jasa production untuk acara kampus. Tolong kirimkan katalog production terbaru.,0
Pelayanan kalian jelek dan lambat. Saya kecewa berat dengan layanan ini. (Perum Mardhiyah Siregar),1
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain. (Perum Siregar Adriansyah Tbk),0
Website ini sampah dan tidak berguna. Saya kecewa berat dengan layanan ini.,1
Apakah bisa request desain booth custom untuk pameran? Saya ingin mengetahui detail layanan.,0
Layanan paling buruk yang pernah saya lihat. Admin tidak berguna sama sekali.,1
"Halo admin, saya ingin bertanya mengenai layanan event. Apakah tersedia paket untuk event kecil?",0
Goblok banget cara kerja kalian. Kalian tidak becus kerja. (UD Prasasta Tbk),1
Sistem kalian bikin emosi. Buruk sekali pelayanannya.,1
Apakah ada promo untuk event akhir tahun? Saya ingin mengetahui detail layanan.,0
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget.,1
"Bangsat, masa revisi lama banget. Hasil kerja kalian jelek banget.",1
Website ini sampah dan tidak berguna. Buruk sekali pelayanannya. (PD Aryani),1
Goblok banget cara kerja kalian. Admin tidak berguna sama sekali. (Perum Namaga Saptono (Persero) Tbk),1
Boleh minta penawaran harga untuk produksi booth? Apakah tersedia paket untuk event kecil? (PD Astuti Pertiwi),0
"Dasar goblok, balas chat lama. Saya kecewa berat dengan layanan ini. (PD Wibowo Rahmawati)",1
Mohon informasi paket production yang tersedia. Saya tertarik dengan portofolio perusahaan. (PT Suryono),0
Sistem kalian bikin emosi. Admin tidak berguna sama sekali. (PT Hastuti Tbk),1
Admin kalian bodoh banget. Admin tidak berguna sama sekali.,1
Pelayanan sangat mengecewakan dan parah. Saya kecewa berat dengan layanan ini. (PD Samosir Tbk),1
Layanan paling buruk yang pernah saya lihat. Saya kecewa berat dengan layanan ini. (PT Pertiwi Nasyiah (Persero) Tbk),1
Apakah ada promo untuk event akhir tahun? Saya tertarik dengan portofolio perusahaan. (PT Jailani Tbk),0
Tim kalian tidak profesional sama sekali. Admin tidak berguna sama sekali. (UD Habibi Hutapea Tbk),1
Apakah bisa produksi signage dalam jumlah banyak? Tolong kirimkan katalog production terbaru. (PT Setiawan Tbk),0
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget. (UD Damanik Andriani),1
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget. (CV Sirait),1
Kalian bikin acara kacau total. Kalian tidak becus kerja.,1
Mohon informasi paket production yang tersedia. Saya tertarik dengan portofolio perusahaan.,0
Kalian bikin acara kacau total. Buruk sekali pelayanannya.,1
Boleh minta penawaran harga untuk produksi booth? Saya tertarik dengan portofolio perusahaan. (UD Uyainah Lazuardi Tbk),0
Goblok banget cara kerja kalian. Admin tidak berguna sama sekali.,1
Tim kalian tidak profesional sama sekali. Buruk sekali pelayanannya. (PD Saefullah),1
Tim kalian sangat tidak kompeten. Kalian tidak becus kerja. (PD Astuti),1
Mohon informasi paket production yang tersedia. Tolong kirimkan katalog production terbaru. (Perum Uyainah Tbk),0
Website ini sampah dan tidak berguna. Kalian tidak becus kerja.,1
Apakah bisa request desain booth custom untuk pameran? Apakah tersedia paket untuk event kecil?,0
Boleh minta penawaran harga untuk produksi booth? Saya ingin mengetahui detail layanan. (Perum Dabukke (Persero) Tbk),0
Layanan paling buruk yang pernah saya lihat. Saya kecewa berat dengan layanan ini.,1
Saya ingin membuat booth dengan desain minimalis. Tolong kirimkan katalog production terbaru.,0
Berapa estimasi harga untuk backdrop ukuran besar? Saya ingin mengetahui detail layanan.,0
Website ini sampah dan tidak berguna. Hasil kerja kalian jelek banget. (Perum Rahmawati Pranowo (Persero) Tbk),1
Berapa estimasi harga untuk backdrop ukuran besar? Mohon bantuan untuk konsultasi desain.,0
Layanan paling buruk yang pernah saya lihat. Buruk sekali pelayanannya.,1
Respon admin buruk sekali. Kalian tidak becus kerja.,1
